FirstName,Phone,Notes
John,+1234567890,Interested in product A
Jane,+1234567891,Follow up next week
Mike,+1234567892,Potential customer
Sarah,+1234567893,Requested demo
David,+1234567894,Budget approved
Lisa,+1234567895,Needs technical info
Tom,+1234567896,Hot lead
Emily,+1234567897,Waiting for approval
Chris,+1234567898,Ready to purchase
Anna,+1234567899,Price negotiation
Mark,+1234567800,Contract pending
Julie,+1234567801,Referral from client
Steve,+1234567802,Follow up in Q2
Maria,+1234567803,Interested in premium
Alex,+1234567804,Demo scheduled
